FGS,FOREST_ZONE,yrl_C_seq_age_0_20_avg,yrl_C_seq_age_21_30_avg,yrl_C_seq_age_0_20_min,yrl_C_seq_age_21_30_min,yrl_C_seq_age_0_20_max,yrl_C_seq_age_21_30_max
F,Central-East Europe,5.01178335989011,4.702810465934066,3.7045677000000006,3.45022353,6.09674685,5.7155794
F,Central-West Europe,3.9051329541666666,3.409448400833333,2.886377955,2.6499084359999996,4.977781125000001,4.383769824
F,North Europe,3.7608497,4.403883854999999,3.13336611,3.6776127240000003,4.4239437,5.020204596
F,South-East Europe,2.1974617500000004,1.473574575,1.6264861500000003,1.339902915,2.68376535,1.593134235
F,South-West Europe,3.1681001666666666,2.3293991194444446,1.669415825,1.1238202400000001,4.945125050000001,3.642130195
S,Central-East Europe,3.4369930713426307,4.110852909433962,2.1657276000000003,2.6261566000000003,4.955712540000001,5.82066976
S,Central-West Europe,4.891070504217841,4.626084069397758,3.5248764471428573,3.395324704285714,6.296564215714286,6.070884454285713
S,North Europe,2.633686791666667,3.9345005499999997,2.0954643600000002,3.3096227000000003,3.3302177299999998,4.4180775
S,South-East Europe,2.4943699199999996,2.81460998,1.8816115199999999,2.23983942,3.20255232,3.32440134
S,South-West Europe,2.5093016986549164,2.066185682072251,1.0925688,0.8846523685714285,4.234607807142857,3.488324777142857
