NUTS_LEVEL3_ID,NUTS_LEVEL0_ID,FOREST_ZONE
NL342,NL,Central West Europe
NL411,NL,Central West Europe
NL412,NL,Central West Europe
NL413,NL,Central West Europe
NL414,NL,Central West Europe
NL421,NL,Central West Europe
NL111,NL,Central West Europe
NL112,NL,Central West Europe
NL113,NL,Central West Europe
NL124,NL,Central West Europe
NL125,NL,Central West Europe
NL126,NL,Central West Europe
NL131,NL,Central West Europe
NL132,NL,Central West Europe
NL133,NL,Central West Europe
NL211,NL,Central West Europe
NL212,NL,Central West Europe
NL213,NL,Central West Europe
NL221,NL,Central West Europe
NL224,NL,Central West Europe
NL225,NL,Central West Europe
NL226,NL,Central West Europe
NL230,NL,Central West Europe
NL310,NL,Central West Europe
NL321,NL,Central West Europe
NL323,NL,Central West Europe
NL422,NL,Central West Europe
NL423,NL,Central West Europe
PL213,PL,Central-East Europe
PL214,PL,Central-East Europe
PL217,PL,Central-East Europe
PL218,PL,Central-East Europe
PL219,PL,Central-East Europe
PL21A,PL,Central-East Europe
PL224,PL,Central-East Europe
PL225,PL,Central-East Europe
PL227,PL,Central-East Europe
PL228,PL,Central-East Europe
PL229,PL,Central-East Europe
PL22A,PL,Central-East Europe
PL22B,PL,Central-East Europe
PL22C,PL,Central-East Europe
PL411,PL,Central-East Europe
PL414,PL,Central-East Europe
PL415,PL,Central-East Europe
PL416,PL,Central-East Europe
PL417,PL,Central-East Europe
PL418,PL,Central-East Europe
PL424,PL,Central-East Europe
PL426,PL,Central-East Europe
PL427,PL,Central-East Europe
PL428,PL,Central-East Europe
PL431,PL,Central-East Europe
PL432,PL,Central-East Europe
PL514,PL,Central-East Europe
PL515,PL,Central-East Europe
PL516,PL,Central-East Europe
PL517,PL,Central-East Europe
PL518,PL,Central-East Europe
PL523,PL,Central-East Europe
PL524,PL,Central-East Europe
PL613,PL,Central-East Europe
PL616,PL,Central-East Europe
PL617,PL,Central-East Europe
PL618,PL,Central-East Europe
PL619,PL,Central-East Europe
PL621,PL,Central-East Europe
PL622,PL,Central-East Europe
PL623,PL,Central-East Europe
PL633,PL,Central-East Europe
PL634,PL,Central-East Europe
PL636,PL,Central-East Europe
PL637,PL,Central-East Europe
PL638,PL,Central-East Europe
PL711,PL,Central-East Europe
PL712,PL,Central-East Europe
PL713,PL,Central-East Europe
PL714,PL,Central-East Europe
PL715,PL,Central-East Europe
PL721,PL,Central-East Europe
PL722,PL,Central-East Europe
PL811,PL,Central-East Europe
PL812,PL,Central-East Europe
PL814,PL,Central-East Europe
PL815,PL,Central-East Europe
PL821,PL,Central-East Europe
PL822,PL,Central-East Europe
PL823,PL,Central-East Europe
PL824,PL,Central-East Europe
PL841,PL,Central-East Europe
PL842,PL,Central-East Europe
PL843,PL,Central-East Europe
PL911,PL,Central-East Europe
PL912,PL,Central-East Europe
PL913,PL,Central-East Europe
PL921,PL,Central-East Europe
PL922,PL,Central-East Europe
PL923,PL,Central-East Europe
PL924,PL,Central-East Europe
PL925,PL,Central-East Europe
PL926,PL,Central-East Europe
PT16D,PT,South-West Europe
PT16E,PT,South-West Europe
PT16F,PT,South-West Europe
PT16G,PT,South-West Europe
PT16H,PT,South-West Europe
PT16I,PT,South-West Europe
PT16J,PT,South-West Europe
PT170,PT,South-West Europe
PT181,PT,South-West Europe
PT184,PT,South-West Europe
PT185,PT,South-West Europe
PT186,PT,South-West Europe
PT187,PT,South-West Europe
PT111,PT,South-West Europe
PT112,PT,South-West Europe
PT119,PT,South-West Europe
PT11A,PT,South-West Europe
PT11B,PT,South-West Europe
PT11C,PT,South-West Europe
PT11D,PT,South-West Europe
PT11E,PT,South-West Europe
PT150,PT,South-West Europe
PT16B,PT,South-West Europe
PT200,PT,South-West Europe
PT300,PT,South-West Europe
RO122,RO,Central-East Europe
RO123,RO,Central-East Europe
RO124,RO,Central-East Europe
