NUTS_LEVEL3_ID,NUTS_LEVEL0_ID,FOREST_ZONE
DEF0F,DE,Central-West Europe
DEG01,DE,Central-West Europe
DEG02,DE,Central-West Europe
DEG03,DE,Central-West Europe
DEG04,DE,Central-West Europe
DEG05,DE,Central-West Europe
DEG06,DE,Central-West Europe
DEG07,DE,Central-West Europe
DEG09,DE,Central-West Europe
DEG0A,DE,Central-West Europe
DEG0B,DE,Central-West Europe
DEG0C,DE,Central-West Europe
DEG0D,DE,Central-West Europe
DEG0E,DE,Central-West Europe
DEG0F,DE,Central-West Europe
DEG0G,DE,Central-West Europe
DEG0H,DE,Central-West Europe
DEG0I,DE,Central-West Europe
DEG0J,DE,Central-West Europe
DEG0K,DE,Central-West Europe
DEG0L,DE,Central-West Europe
DEG0M,DE,Central-West Europe
DEG0N,DE,Central-West Europe
DEG0P,DE,Central-West Europe
DE943,DE,Central-West Europe
DE944,DE,Central-West Europe
DE945,DE,Central-West Europe
DE946,DE,Central-West Europe
DE947,DE,Central-West Europe
DE948,DE,Central-West Europe
DE949,DE,Central-West Europe
DE94A,DE,Central-West Europe
DE94B,DE,Central-West Europe
DE94C,DE,Central-West Europe
DE94D,DE,Central-West Europe
DE94E,DE,Central-West Europe
DE94F,DE,Central-West Europe
DE94G,DE,Central-West Europe
DE94H,DE,Central-West Europe
DEA11,DE,Central-West Europe
DEA12,DE,Central-West Europe
DEA13,DE,Central-West Europe
DEA14,DE,Central-West Europe
DEA15,DE,Central-West Europe
DEA1C,DE,Central-West Europe
DEA1D,DE,Central-West Europe
DEA1E,DE,Central-West Europe
DEA1F,DE,Central-West Europe
DEA22,DE,Central-West Europe
DEA23,DE,Central-West Europe
DEA24,DE,Central-West Europe
DEA26,DE,Central-West Europe
DEA27,DE,Central-West Europe
DEA28,DE,Central-West Europe
DEA29,DE,Central-West Europe
DEA2A,DE,Central-West Europe
DEA2B,DE,Central-West Europe
DEA2C,DE,Central-West Europe
DEA2D,DE,Central-West Europe
DEA31,DE,Central-West Europe
DEA32,DE,Central-West Europe
DEA33,DE,Central-West Europe
DEA34,DE,Central-West Europe
DEA35,DE,Central-West Europe
DEA36,DE,Central-West Europe
DEA37,DE,Central-West Europe
DEA38,DE,Central-West Europe
DEA41,DE,Central-West Europe
DEA42,DE,Central-West Europe
DEA43,DE,Central-West Europe
DEA44,DE,Central-West Europe
DEA45,DE,Central-West Europe
DEA46,DE,Central-West Europe
DEA47,DE,Central-West Europe
DEA51,DE,Central-West Europe
DEA52,DE,Central-West Europe
DEA53,DE,Central-West Europe
DEA54,DE,Central-West Europe
DEA55,DE,Central-West Europe
DEA56,DE,Central-West Europe
DEA57,DE,Central-West Europe
DEA58,DE,Central-West Europe
DEA59,DE,Central-West Europe
DEA5A,DE,Central-West Europe
DEA5B,DE,Central-West Europe
DEA5C,DE,Central-West Europe
