SPECIES_CODE,SPECIES_NAME,FOREST_ZONE,FGS,FT,CF,BCEF_0_20,BCEF_21_30,RTS,Iv_0_20_avg,Iv_21-30_avg,Iv_0_20_min,Iv_21-30_min,Iv_0_20_max,Iv_21-30_max,yrl_C_seq_age_0_20_avg,yrl_C_seq_age_21_30_avg,yrl_C_seq_age_0_20_min,yrl_C_seq_age_21_30_min,yrl_C_seq_age_0_20_max,yrl_C_seq_age_21_30_max
AA,Abies_alba,Central-East Europe,S,C,0.51,0.55,0.47,0.39,5.485714285714287,8.328571428571427,5.4,8.2,5.640000000000001,8.56,2.138852571428572,2.774938414285714,2.1054330000000006,2.7321006,2.199007800000001,2.8520464800000003
AA,Abies_alba,Central-West Europe,S,C,0.51,0.55,0.47,0.39,12.183333333333334,15.450000000000001,7.6,11.91,15.72,21.66,4.750220750000001,5.14767735,2.963202,3.96820953,6.129149400000002,7.21674378
AA,Abies_alba,North Europe,S,C,0.51,0.55,0.47,0.39,2.1399999999999997,6.159999999999999,1.94,6.1,2.38,6.26,0.8343752999999999,2.0524072799999997,0.7563963,2.0324163,0.9279501000000001,2.08572558
AA,Abies_alba,South-East Europe,S,C,0.51,0.55,0.47,0.39,5.6,6.1,5.6,6.1,5.6,6.1,2.183412,2.0324163,2.183412,2.0324163,2.183412,2.0324163
AA,Abies_alba,South-West Europe,S,C,0.51,0.55,0.47,0.39,8.458333333333334,8.358333333333333,4.76,4.66,13.270000000000001,13.080000000000002,3.297861875000001,2.784854575,1.8559002000000002,1.55263278,5.173906650000002,4.358033640000001
AC,Acer_campestre,Central-East Europe,F,D,0.48,1.5,1.3,0.42,4.203333333,4.203333333,1.0,1.0,6.5,6.5,4.297487999659199,3.72448959970464,1.0224,0.8860799999999999,6.645599999999999,5.75952
AC,Acer_campestre,Central-West Europe,F,D,0.48,1.5,1.3,0.42,4.203333333,4.203333333,1.0,1.0,6.5,6.5,4.297487999659199,3.72448959970464,1.0224,0.8860799999999999,6.645599999999999,5.75952
AC,Acer_campestre,North Europe,F,D,0.48,1.5,1.3,0.42,4.203333333,4.203333333,1.0,1.0,6.5,6.5,4.297487999659199,3.72448959970464,1.0224,0.8860799999999999,6.645599999999999,5.75952
AC,Acer_campestre,South-East Europe,F,D,0.48,1.5,1.3,0.42,4.203333333,4.203333333,1.0,1.0,6.5,6.5,4.297487999659199,3.72448959970464,1.0224,0.8860799999999999,6.645599999999999,5.75952
AC,Acer_campestre,South-West Europe,F,D,0.48,1.5,1.3,0.42,4.203333333,4.203333333,1.0,1.0,6.5,6.5,4.297487999659199,3.72448959970464,1.0224,0.8860799999999999,6.645599999999999,5.75952
